actor,script,start_time,end_time,duration
승혁,우리도 뭔가 좀 대책이 필요한 거 같은데,00:11:35,00:11:35,00:11:35
승혁,나 똥밭에 굴러도 이승이 좋아,00:11:38,00:11:38,00:11:38
승혁,"대책 같은 소리 한다, 진짜",00:11:40,00:11:40,00:11:40
설명,[명희의 웃음],00:11:42,00:11:42,00:11:42
설명,[의미심장한 음악],00:11:45,00:11:45,00:11:45
승혁,죽고 싶어 환장했나?,00:11:46,00:11:46,00:11:46
승혁,"왜 그래, 무섭게",00:11:48,00:11:48,00:11:48
명희,우리는,00:11:50,00:11:50,00:11:50
명희,장준우 회장의 정체를 아는 것만으로,00:11:52,00:11:52,00:11:52
명희,이 단두대에다 목을 딱 넣고 있는 거야,00:11:56,00:11:56,00:11:56
명희,[승혁의 놀란 숨소리] 명심해라,00:12:01,00:12:01,00:12:01
명희,"어, 예",00:12:03,00:12:03,00:12:03
설명,[힘겨운 신음],00:12:05,00:12:05,00:12:05
명희,"아, 공황 또 온다",00:12:07,00:12:07,00:12:07
승혁,"어유, 나 진짜 약 처방받아야 될 것 같아, 아",00:12:08,00:12:08,00:12:08
명희,"숨 쉬어, 숨, 숨 쉬어",00:12:11,00:12:11,00:12:11
승혁,"어, 이거 안 풀려",00:12:11,00:12:11,00:12:11
설명,[의미심장한 음악],00:12:26,00:12:26,00:12:26
차영,시신들 모셔 놨으니까,00:12:30,00:12:30,00:12:30
차영,진짜 보스 빨리 찾죠,00:12:32,00:12:32,00:12:32
차영,화끈하게 책임 물어야죠,00:12:39,00:12:39,00:12:39
차영,책임 묻지 않을 거예요,00:12:41,00:12:41,00:12:41
차영,그럼요?,00:12:43,00:12:43,00:12:43
차영,찾게 되면,00:12:44,00:12:44,00:12:44
차영,바로 죽일 거예요,00:12:47,00:12:47,00:12:47
차영,아…,00:12:50,00:12:50,00:12:50
차영,말려도 할 겁니다,00:12:52,00:12:52,00:12:52
차영,말릴 생각 전혀 없어요,00:12:55,00:12:55,00:12:55
차영,고마워요,00:13:04,00:13:04,00:13:04
차영,대신,00:13:05,00:13:05,00:13:05
차영,약속한 원칙을 깨야겠네요,00:13:08,00:13:08,00:13:08
차영,누구도 해치지 않는다는 거,00:13:11,00:13:11,00:13:11
차영,원칙 철회할게요,00:13:15,00:13:15,00:13:15
차영,필요는 모든 원칙을 깨트리죠,00:13:18,00:13:18,00:13:18
설명,[흥미로운 음악],00:13:32,00:13:32,00:13:32
차영,형사들한테 캐시 전달은 우상의 서 변이 직접 할 거예요,00:13:34,00:13:34,00:13:34
빈센조,그 사람이 돈 배달 담당인가 보네요?,00:13:39,00:13:39,00:13:39
차영,능력은 개뿔도 없는데,00:13:41,00:13:41,00:13:41
차영,성대모사 잘해서 버티고 있는 놈이에요,00:13:42,00:13:42,00:13:42
차영,"그럼 당장 서 변호사, 형사 쪽 둘 다 감시해야겠네요",00:13:44,00:13:44,00:13:44
차영,"아, 부탁이 있는데",00:13:48,00:13:48,00:13:48
차영,누굴 잡든 마지막 한 방은 나 줘요,00:13:50,00:13:50,00:13:50
차영,그러죠,00:13:54,00:13:54,00:13:54
설명,[한숨],00:14:00,00:14:00,00:14:00
차영,이젠 정말 사이다 마시고 싶다,00:14:03,00:14:03,00:14:03
차영,내가 가서 사 올까요?,00:14:07,00:14:07,00:14:07
