구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년05월03일,1984.00,1911.21,1910.83,1907.21,1930.78,1925.83,1917.40,1939.26,1949.27,1953.24,1950.35,1938.37,1949.76,1930.45,1923.05,1937.59,1934.48
2022년05월04일,1980.36,1907.40,1905.29,1904.87,1927.85,1921.82,1912.21,1934.81,1944.71,1949.07,1947.05,1934.04,1944.46,1926.02,1919.53,1970.07,1930.41
2022년05월05일,1979.04,1904.83,1903.74,1903.80,1924.41,1918.39,1909.84,1932.45,1941.59,1945.83,1943.94,1932.90,1941.26,1923.85,1917.29,1975.90,1929.20
2022년05월06일,1979.03,1906.17,1903.72,1904.79,1924.30,1917.87,1908.20,1931.89,1940.84,1944.99,1943.33,1932.31,1939.65,1923.34,1916.79,1976.91,1927.02
2022년05월07일,1980.25,1908.20,1904.76,1912.33,1924.37,1919.08,1907.73,1933.96,1944.01,1945.95,1944.28,1933.58,1940.18,1925.31,1918.13,1977.16,1926.33
2022년05월08일,1985.24,1910.84,1908.01,1918.57,1927.27,1924.77,1911.39,1936.86,1946.23,1948.47,1945.29,1935.82,1941.75,1927.63,1920.26,1978.05,1930.98
2022년05월09일,1988.39,1912.90,1912.33,1923.30,1927.91,1929.68,1915.23,1939.51,1948.51,1952.37,1946.45,1938.77,1943.42,1930.45,1922.16,1977.45,1932.79
2022년05월10일,2001.40,1917.99,1918.98,1929.00,1934.41,1937.92,1921.15,1945.66,1952.21,1956.23,1950.03,1942.49,1947.76,1935.12,1926.84,1983.70,1938.33
2022년05월11일,2005.08,1924.57,1920.70,1930.38,1935.19,1938.81,1923.41,1948.11,1953.96,1958.52,1951.71,1944.86,1949.82,1937.14,1929.71,1984.42,1940.45
2022년05월12일,2007.70,1928.69,1923.15,1935.07,1938.92,1942.18,1925.81,1951.15,1956.43,1959.53,1954.08,1947.21,1951.40,1938.99,1932.25,1990.12,1943.70
2022년05월13일,2011.76,1931.56,1925.58,1937.74,1943.08,1944.35,1928.09,1955.46,1960.49,1961.52,1956.54,1949.36,1954.02,1940.87,1935.67,1991.02,1946.39
2022년05월14일,2013.97,1933.44,1928.19,1945.46,1946.85,1945.82,1930.25,1958.57,1963.55,1963.95,1959.80,1952.49,1956.71,1943.55,1939.46,1991.61,1947.70
2022년05월15일,2015.13,1934.07,1929.53,1948.14,1948.64,1948.06,1932.11,1960.40,1965.76,1965.37,1961.46,1954.76,1958.18,1945.41,1941.06,1991.41,1950.05
2022년05월16일,2017.91,1936.04,1931.74,1951.13,1950.90,1949.84,1934.99,1963.14,1967.17,1967.04,1963.57,1957.39,1960.11,1947.78,1943.70,1991.39,1953.08
2022년05월17일,2024.18,1940.35,1936.47,1955.48,1954.95,1955.03,1939.26,1967.91,1970.79,1970.00,1966.51,1960.33,1963.44,1951.42,1948.06,2025.18,1958.71
2022년05월18일,2027.23,1945.32,1940.37,1957.66,1958.54,1958.60,1944.25,1972.13,1975.00,1973.71,1970.25,1964.26,1968.23,1956.28,1952.23,2025.80,1962.02
2022년05월19일,2032.59,1949.63,1946.73,1961.92,1963.22,1965.27,1948.32,1977.26,1981.20,1978.07,1974.17,1968.18,1972.24,1960.83,1958.09,2027.44,1966.33
2022년05월20일,2040.76,1956.24,1952.58,1966.90,1968.07,1971.36,1951.71,1983.63,1986.15,1983.25,1979.76,1972.33,1976.39,1965.34,1963.20,2027.28,1970.88
2022년05월21일,2047.10,1962.51,1956.64,1974.65,1971.73,1976.87,1957.78,1988.47,1993.13,1987.34,1984.81,1976.95,1980.84,1970.53,1969.34,2027.40,1974.89
2022년05월22일,2049.09,1964.19,1959.20,1977.65,1973.29,1980.01,1962.07,1990.97,1996.46,1990.14,1987.82,1979.05,1982.79,1973.09,1972.00,2028.69,1976.56
2022년05월23일,2054.48,1967.11,1961.79,1982.79,1976.64,1984.53,1967.24,1995.31,2000.25,1994.24,1991.56,1981.53,1985.25,1976.61,1975.94,2028.05,1980.59
2022년05월24일,2066.46,1972.72,1966.98,1995.16,1981.85,1992.41,1974.68,2002.26,2005.74,1999.56,1995.59,1986.24,1990.07,1981.05,1980.75,2037.95,1988.52
2022년05월25일,2072.72,1975.27,1970.02,2001.17,1984.74,1995.86,1978.79,2006.90,2009.26,2004.51,1998.65,1989.14,1993.77,1984.10,1984.03,2040.91,1992.30
