구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년05월19일,2039.64,1957.55,1955.08,1985.60,1966.41,1979.75,1963.98,1990.97,1998.44,1992.81,1988.86,1979.75,1985.20,1975.61,1975.75,2086.94,1984.47
2022년05월20일,2047.00,1962.55,1958.71,1988.87,1970.78,1984.44,1967.77,1995.59,2002.69,1996.45,1993.19,1983.23,1989.23,1979.96,1979.75,2087.11,1988.36
2022년05월21일,2049.87,1966.63,1962.61,1995.16,1974.52,1988.10,1970.87,1998.11,2006.73,1999.55,1996.42,1986.99,1992.61,1983.59,1983.32,2086.77,1990.98
2022년05월22일,2051.15,1967.89,1964.50,1996.66,1976.00,1989.39,1973.84,1999.47,2009.08,2000.87,1998.13,1988.66,1993.60,1984.71,1984.82,2087.08,1992.80
2022년05월23일,2053.32,1969.90,1966.84,1999.29,1978.40,1991.71,1976.24,2002.40,2011.52,2003.26,2000.97,1991.12,1996.70,1987.21,1987.59,2087.13,1995.41
2022년05월24일,2057.88,1972.62,1969.61,2002.14,1982.95,1996.37,1979.82,2005.40,2014.13,2005.51,2003.40,1993.40,1999.44,1988.65,1990.53,2078.24,1998.61
2022년05월25일,2060.58,1974.58,1971.73,2003.43,1985.26,1997.99,1982.33,2007.28,2016.10,2007.60,2005.02,1995.36,2001.04,1990.50,1991.77,2075.51,2000.73
2022년05월26일,2061.93,1977.69,1973.68,2004.00,1987.09,1998.45,1984.86,2007.96,2017.33,2008.75,2006.52,1997.05,2002.51,1991.16,1993.06,2073.34,2002.39
2022년05월27일,2063.19,1980.58,1976.08,2004.10,1989.31,1999.82,1987.75,2009.18,2019.12,2009.52,2007.98,1998.30,2003.74,1991.90,1994.28,2072.21,2004.50
2022년05월28일,2062.93,1981.66,1977.78,2004.66,1991.12,2000.44,1989.11,2009.76,2019.67,2010.03,2008.77,1999.93,2004.95,1993.08,1995.22,2049.46,2006.68
2022년05월29일,2064.12,1981.22,1978.78,2004.93,1991.53,2000.81,1989.68,2010.06,2020.05,2010.33,2009.47,2000.20,2005.68,1993.75,1995.97,2047.70,2006.68
2022년05월30일,2066.27,1982.11,1980.73,2005.68,1993.65,2001.63,1991.25,2010.91,2020.73,2010.66,2010.06,2002.04,2006.82,1995.39,1996.85,2045.68,2006.82
2022년05월31일,2066.78,1983.46,1982.39,2006.21,1995.28,2003.03,1992.72,2011.87,2021.78,2011.88,2010.89,2003.28,2008.69,1996.15,1998.18,2046.42,2008.18
2022년06월01일,2064.29,1984.28,1985.14,2007.28,1995.72,2005.53,1994.85,2012.57,2023.57,2012.40,2012.44,2004.96,2010.21,1998.29,1999.99,2046.71,2010.30
2022년06월02일,2067.23,1989.04,1987.05,2008.66,1998.33,2008.18,1997.00,2013.40,2024.61,2013.45,2014.50,2006.52,2011.84,2000.04,2002.44,2046.81,2011.36
2022년06월03일,2068.68,1993.51,1990.48,2009.52,2001.24,2013.20,1999.37,2015.61,2026.59,2015.23,2017.48,2008.08,2013.50,2001.93,2005.21,2047.14,2012.36
2022년06월04일,2072.12,1997.17,1995.72,2017.97,2006.31,2020.40,2002.66,2019.68,2030.53,2018.74,2021.19,2011.86,2016.99,2005.91,2009.30,2101.97,2017.32
2022년06월05일,2075.77,1999.04,1997.97,2022.25,2008.58,2024.15,2005.81,2021.94,2032.84,2021.61,2023.68,2014.76,2018.89,2008.83,2011.82,2107.96,2022.77
2022년06월06일,2080.92,2000.78,2000.86,2026.45,2010.30,2026.80,2007.53,2024.74,2034.59,2024.19,2027.25,2017.11,2020.99,2011.59,2014.25,2111.06,2028.30
